ID,ratio,Atomic_Number,Atomic_Weight,Atomic Radius,Mulliken EN,polarizability(A^3),electron affinity(kJ/mol)
1,0.055555556,58,140,2.1,3.25,36,55
2,0.055555556,59,141,2.47,3.22,34,11
3,0.055555556,60,144,2.06,3.25,32,9
4,0.055555556,62,150.5,2.38,3.35,29,16
5,0.055555556,64,157,2.33,3.45,26,13
6,0.033707865,27,58.93,1.52,4.27,6.8,64
7,0.071428571,30,65.58,1.42,3.69,7.08,-60
8,0.023255814,29,63.55,1.45,4.48,6.1,119
9,0.021428571,48,112.4,1.61,3.8,6,-70
10,0.205128205,30,65.58,1.42,3.69,7.08,-60
11,0.032258065,11,22.99,1.9,2.84,23.6,53
12,0.035714286,27,58.93,1.52,4.27,6.8,64
13,0.116788321,23,50.94,1.71,3.64,11.4,51
14,0.116788321,23,50.94,1.71,3.64,11.4,51
15,0.022222222,30,65.58,1.42,3.69,7.08,-60
16,0.058823529,27,58.93,1.52,4.27,6.8,64
17,0.025,62,150.5,2.38,3.35,29,16
18,0.025,57,139,2.26,3.02,37,54
19,0.025,64,157,2.33,3.45,26,13
20,0.025,60,144,2.06,3.25,32,9
21,0.032258065,29,63.55,1.45,4.48,6.1,119
22,0.052631579,69,169,2.22,3.61,22,99
23,0.0625,57,139,2.26,3.02,37,54
24,0.071428571,29,63.55,1.45,4.48,6.1,119
25,0.090909091,29,63.55,1.45,4.48,6.1,119
26,0.033707865,29,63.55,1.45,4.48,6.1,119
27,0.04,29,63.55,1.45,4.48,6.1,119
28,0.052631579,28,58.69,1.49,4.4,6.5,112
29,0.075,29,63.55,1.45,4.48,6.1,119
30,0.039215686,58,140,2.1,3.25,36,55
31,0.04,60,144,2.06,3.25,32,9
32,0.023255814,58,140,2.1,3.25,36,55
33,0.023255814,64,157,2.33,3.45,26,13
34,0.023255814,58,140,2.1,3.25,36,55
35,0.04,29,63.55,1.45,4.48,6.1,119
36,0.029411765,30,65.58,1.42,3.69,7.08,-60
37,0.029411765,30,65.58,1.42,3.69,7.08,-60
38,0.0625,20,40.08,1.94,3.07,25,2
39,0.034482759,29,63.55,1.45,4.48,6.1,119
40,0.018181818,57,139,2.26,3.02,37,54
41,0.016393443,57,139,2.26,3.02,37,54
42,0.035714286,29,63.55,1.45,4.48,6.1,119
43,0.038461538,29,63.55,1.45,4.48,6.1,119
44,0.037037037,30,65.58,1.42,3.69,7.08,-60
45,0.071428571,30,65.58,1.42,3.69,7.08,-60
46,0.090909091,29,63.55,1.45,4.48,6.1,119
47,0.090909091,29,63.55,1.45,4.48,6.1,119
48,0.028169014,48,112.4,1.61,3.8,6,-70
49,0.028169014,48,112.4,1.61,3.8,6,-70
50,0.086956522,30,65.58,1.42,3.69,7.08,-60
51,0.045454545,48,112.4,1.61,3.8,6,-70
52,0.090909091,30,65.58,1.42,3.69,7.08,-60
53,0.111111111,25,54.94,1.61,3.47,8.6,-50
54,0.142857143,25,54.94,1.61,3.47,8.6,-50
55,0.111111111,25,54.94,1.61,3.47,8.6,-50
56,0.111111111,25,54.94,1.61,3.47,8.6,-50
57,0.111111111,25,54.94,1.61,3.47,8.6,-50
58,0.111111111,25,54.94,1.61,3.47,8.6,-50
59,0.111111111,25,54.94,1.61,3.47,8.6,-50
60,0.047619048,27,58.93,1.52,4.27,6.8,64
61,0.055555556,23,50.94,1.71,3.64,11.4,51
62,0.040816327,30,65.58,1.42,3.69,7.08,-60
63,0.040816327,30,65.58,1.42,3.69,7.08,-60
64,0.037037037,48,112.4,1.61,3.8,6,-70
65,0.027777778,29,63.55,1.45,4.48,6.1,119
66,0.027777778,28,58.69,1.49,4.4,6.5,112
67,0.111111111,48,112.4,1.61,3.8,6,-70
68,0.033333333,30,65.58,1.42,3.69,7.08,-60
69,0.033333333,25,54.94,1.61,3.47,8.6,-50
70,0.0625,12,24.31,1.45,4.09,10.6,-40
71,0.018867925,29,63.55,1.45,4.48,6.1,119
72,0.017857143,48,112.4,1.61,3.8,6,-70
73,0.037974684,48,112.4,1.61,3.8,6,-70
74,0.052631579,58,140,2.1,3.25,36,55
75,0.027777778,30,65.58,1.42,3.69,7.08,-60
76,0.04494382,30,65.58,1.42,3.69,7.08,-60
77,0.015384615,48,112.4,1.61,3.8,6,-70
78,0.054054054,30,65.58,1.42,3.69,7.08,-60
79,0.058823529,56,137.3,2.53,2.68,39.7,14
80,0.052631579,47,107.9,1.65,4.44,6.3,126
81,0.028571429,28,58.69,1.49,4.4,6.5,112
82,0.038461538,27,58.93,1.52,4.27,6.8,64
83,0.038461538,27,58.93,1.52,4.27,6.8,64
84,0.036144578,27,58.93,1.52,4.27,6.8,64
85,0.018867925,30,65.58,1.42,3.69,7.08,-60
86,0.014705882,27,58.93,1.52,4.27,6.8,64
87,0.108108108,92,238,2.22,3.37,46,51
88,0.125,12,24.31,1.45,4.09,10.6,-40
89,0.045045045,25,54.94,1.61,3.47,8.6,-50
90,0.185185185,31,69.72,1.36,3.21,8.12,29
91,0.056603774,30,65.58,1.42,3.69,7.08,-60
92,0.04,30,65.58,1.42,3.69,7.08,-60
93,0.04,30,65.58,1.42,3.69,7.08,-60
94,0.038461538,30,65.58,1.42,3.69,7.08,-60
95,0.038461538,30,65.58,1.42,3.69,7.08,-60
96,0.041666667,30,65.58,1.42,3.69,7.08,-60
97,0.041666667,30,65.58,1.42,3.69,7.08,-60
98,0.038461538,30,65.58,1.42,3.69,7.08,-60
99,0.038461538,30,65.58,1.42,3.69,7.08,-60
