Order,PLD,LCD,Void,Surface[m^2/g],Pore_Volume[cm^3/g],Density[cm^3/g]
1,3.90547,4.71075,0.0587935,0,0.03289673,0.559530121
2,3.85229,4.69102,0.0597065,0,0.03294981,0.551862958
3,3.82009,4.67302,0.0532893,0,0.02884057,0.541207497
4,3.74654,4.69761,0.0544157,0,0.02854908,0.524647871
5,3.68144,4.57088,0.0449361,0,0.02281912,0.507812642
6,3.59861,4.37853,0.0252216,0,0.01873842,0.742951404
7,3.90881,4.64287,0.0914909,0,0.07900392,0.863516698
8,3.51034,6.27961,0.0808437,16.02723,0.07148464,0.884232712
9,4.91038,7.70318,0.137748,135.557764,0.12709259,0.922645644
10,4.29249,6.30007,0.397193,527.703665,0.17196257,0.432944605
11,4.22364,4.76175,0.0807808,0,0.04698024,0.581576869
12,4.10445,5.75165,0.0518292,0,0.04104099,0.791850637
13,3.72148,5.52187,0.0496478,1.352696,0.03031671,0.610635514
14,3.81414,5.64563,0.0405597,0,0.02363854,0.58280845
15,5.04333,7.36084,0.102164,80.751603,0.10052681,0.983974846
16,4.22462,6.45274,0.0871874,13.671593,0.07771836,0.891394404
17,6.5175,8.26215,0.214267,558.853621,0.20228694,0.944088149
18,6.31049,8.18594,0.200236,531.870475,0.19248071,0.961269262
19,6.44453,8.71169,0.204609,521.793658,0.186973,0.913806341
20,6.51591,8.19585,0.210486,572.808579,0.20090688,0.954490485
21,5.29484,8.04098,0.127151,132.479158,0.12988934,1.021536142
22,4.50129,5.3901,0.157633,22.487646,0.11372797,0.721473084
23,6.07777,6.49619,0.157417,108.912128,0.08885475,0.564454573
24,5.07148,6.68297,0.361694,928.803437,0.40788396,1.127704528
25,3.92604,4.30721,0.0297946,0,0.01546346,0.519002101
26,5.03994,7.12611,0.0848513,33.70044,0.04277789,0.504151295
27,5.75746,11.28543,0.459153,2020.932521,0.70672089,1.539183858
28,4.84092,7.79386,0.304076,655.14004,0.31045407,1.02097525
29,5.66011,5.95317,0.249654,565.15825,0.18655762,0.747264683
30,4.33197,5.97718,0.106541,1.664571,0.07440402,0.698360416
31,4.42105,5.95078,0.108685,2.385955,0.07681453,0.706762949
32,6.55754,8.96828,0.392406,1797.155871,0.69246658,1.764668674
33,6.54764,8.90301,0.386629,1642.411722,0.65456257,1.692999151
34,4.98284,7.43227,0.214448,362.815736,0.23079849,1.076244522
35,5.62773,6.57831,0.0749129,4.541895,0.05021112,0.67025995
36,10.53622,11.37049,0.233916,649.778085,0.23821466,1.01837694
37,10.38233,10.88516,0.23348,652.04732,0.23689852,1.01464159
38,3.41789,4.06344,0.00161802,0,0.0010158,0.627807199
39,7.26546,9.0113,0.207191,549.502987,0.20234759,0.976623465
40,3.7258,6.09505,0.0716207,34.119026,0.05413794,0.75589793
41,3.83804,6.20935,0.0700752,34.443717,0.05271635,0.7522826
42,4.8248,6.90189,0.30308,697.754825,0.36368861,1.199975607
43,6.7457,13.83317,0.460445,2402.957336,0.81109101,1.761537224
44,6.6636,8.63154,0.343687,1730.627426,0.50537054,1.470438339
45,3.47545,4.40375,0.0430281,0,0.02605253,0.605477089
46,5.20392,8.64402,0.229067,468.372483,0.21985524,0.959785751
47,5.24969,8.59729,0.232451,485.616655,0.22366249,0.962191975
48,4.08361,5.65902,0.0808243,6.563467,0.06911174,0.855086152
49,5.15676,8.4144,0.26213,702.745192,0.3062983,1.168497691
50,5.06104,5.97774,0.142982,93.188806,0.08041764,0.562431933
51,4.61496,5.87195,0.0695311,0,0.04572945,0.657683325
52,5.61507,6.26562,0.242678,83.751235,0.1997587,0.82314302
53,3.63251,4.97234,0.0329875,0,0.02001616,0.606780019
54,3.9552,4.90976,0.0314114,0,0.01966931,0.626183954
55,3.79625,5.05915,0.0455669,0,0.02861363,0.627947765
56,3.63143,4.97262,0.0322477,0,0.01939777,0.601523986
57,3.69367,4.7059,0.028534,0,0.01702951,0.596814738
58,3.6173,4.89645,0.0462668,0,0.0290088,0.626989548
59,3.58992,4.93571,0.0415147,0,0.02579022,0.62123103
60,16.95424,17.44029,0.461407,1276.759942,0.61261006,1.327699961
61,13.69287,13.93222,0.295073,871.610443,0.34258727,1.161025472
62,7.65002,9.36813,0.265692,912.857872,0.30663918,1.154115224
63,7.70285,10.12585,0.270435,934.410551,0.31256375,1.155781409
