Order,I2-heat,H2O-heat,N2-heat,O2-heat,I2-henry,N2-henry,O2-henry,H2O-henry
1,-5407.77065,-19346.27342,-1679.78151,-1475.70225,8.15E-05,1.89E-07,2.47E-07,1.32E-07
2,-5370.83101,-18198.48974,-1651.06912,-1482.12075,6.87E-05,1.85E-07,2.43E-07,1.30E-07
3,-5343.38779,-19766.26434,-1689.32825,-1499.34344,5.50E-05,1.81E-07,2.40E-07,1.27E-07
4,-5398.05432,-20241.27298,-1688.28942,-1515.46897,5.27E-05,1.74E-07,2.31E-07,1.22E-07
5,-5301.39076,-19999.66116,-1683.01427,-1535.22023,3.20E-05,1.64E-07,2.22E-07,1.17E-07
6,-16.83471,-5085.80713,-1907.06529,-1822.47941,7.17E-11,2.15E-07,3.06E-07,1.43E-07
7,-5930.6655,-9112.39408,-1779.89765,-1536.36839,0.000718008,5.88E-07,7.57E-07,3.67E-07
8,-8101.28657,-3703.17889,-1673.86094,-1654.58852,0.27809,8.67E-07,9.98E-07,4.20E-07
9,-7078.74191,-2898.44399,-1343.30604,-1372.73915,0.0175091,5.85E-07,6.91E-07,3.52E-07
10,-6672.06205,-1843.66587,-1309.04953,-1253.75353,0.0052316,1.89E-07,2.08E-07,1.08E-07
11,-7911.3216,-7711.46368,-1800.61437,-1681.95609,0.0535268,3.68E-07,4.01E-07,1.69E-07
12,-7911.41269,-3815.0252,-1709.25178,-1705.9738,0.179093,7.95E-07,9.44E-07,3.81E-07
13,-7512.15955,-3667.88704,-1652.3921,-1597.11686,0.00690896,2.21E-07,2.88E-07,1.42E-07
14,-7692.42991,-5102.20414,-1687.70263,-1641.57398,0.0077574,1.98E-07,2.59E-07,1.25E-07
15,-7794.10084,-2499.84715,-1410.22412,-1422.3639,0.0560242,5.74E-07,6.74E-07,3.36E-07
16,-8037.05104,-1491.18518,-1435.48629,-1415.71008,0.0282687,4.46E-07,5.12E-07,2.57E-07
17,-6009.00395,-11264.15815,-1391.9153,-1422.53385,0.00401961,7.31E-07,8.49E-07,4.21E-07
