Order,I2,N2,O2,H2O
1,0,0.054409194,0.02741058,135.217412
2,0,0.066274347,0.033749102,126.0424055
3,0,0.038453352,0.019879889,135.7628241
4,0,0.030017173,0.016274564,135.0873502
5,0,0.029369791,0.015340407,129.990706
6,0,0.351399868,0.144191098,10.17840894
7,1.16734991,0.773263647,0.306716171,73.93459363
8,670.2140737,0.431027473,0.196286196,0.422969008
9,110.8188624,1.012378134,0.372199479,0.626014741
10,40.15853801,0.361974385,0.118330189,0.076111182
11,29.94275446,0.112917441,0.038868164,70.1431656
12,362.9889524,0.540564759,0.281729697,1.463623873
13,41.69905183,0.444131852,0.160350955,0.705143028
14,42.72437725,0.373507151,0.139107212,2.672789465
15,159.9231228,0.900999601,0.334126221,0.252809139
16,138.416597,0.70152652,0.241365411,0.087741166
17,45.32176691,1.377817288,0.477250946,39.55787391
18,48.3038683,1.387002823,0.49082473,40.90961843
19,47.62955271,1.354164423,0.47734169,40.25116041
20,43.38247185,1.382990532,0.47728879,41.27851276
21,24.00946397,1.044510608,0.38611185,0.122908238
22,0.401382963,0.75795387,0.266738623,128.1206363
23,46.78576299,0.356683651,0.114343755,97.78103553
24,10.70018002,1.353066111,0.450097513,0.238580334
25,0,0.482709051,0.286790214,107.9969905
26,187.3664596,0.027781869,0.012035022,1.962137615
27,26.66688274,1.864302739,0.623172784,0.515741407
28,7.344910052,1.203539513,0.376514566,5.763879146
29,0.675616473,0.301800593,0.096793277,16.88757504
30,45.58553974,0.587235397,0.222755492,71.10454626
31,46.09246157,0.595958323,0.224758682,78.42585989
32,2.391424197,1.940650242,0.607218768,66.59900231
33,2.543263845,1.884099893,0.595986076,64.05288129
34,16.83237462,1.312551687,0.4306571,51.31032233
35,310.3625001,0.090333103,0.038957771,0.008918682
36,178.4172462,0.857055219,0.284309614,0.316895742
37,173.6799451,0.874830215,0.286139811,0.274665516
38,0,0.077978175,0.057825796,0.014938309
39,4.182367277,0.678024665,0.217822601,9.430212561
40,1.636533114,0.506736728,0.182509273,36.14867022
41,5.074057194,0.482755174,0.172089089,34.55723517
42,27.78329511,1.786193268,0.581404583,0.830774521
43,3.917034759,2.00169838,0.640153114,0.262642646
44,14.79921971,2.126983678,0.692535524,0.397193145
45,0.020202594,0.473825917,0.188033976,5.266773268
46,4.193821485,0.923781943,0.306993983,0.410079759
47,4.243262914,0.935188104,0.312612174,0.375723191
48,316.9829632,0.971295381,0.376979854,35.15734633
49,21.66145219,1.412699507,0.463773112,31.91848534
50,285.8322656,0.091702632,0.0308351,0.110188531
51,64.17085582,0.554589633,0.198943407,26.18805935
52,83.16276603,0.888636889,0.289574141,57.79178748
53,0.253685137,0.327618328,0.123318451,0.107812638
54,0.123453088,0.221232048,0.082528766,0.036300402
55,3.835589596,0.378216582,0.135682996,0.112184975
56,0.086723034,0.324183086,0.124360752,0.112725764
57,0.173932366,0.312571252,0.118760941,0.105120198
58,5.103691084,0.363742046,0.131452482,0.111356532
59,0.718099143,0.337637784,0.121703907,0.096502091
60,0.404081877,0.797309019,0.254072872,32.0552481
61,4.094871664,1.461307787,0.518584669,0.572034584
62,14.53312725,1.429019145,0.473011742,11.93962845
63,11.36959273,1.408845201,0.465904721,19.44175709
64,696.6719726,0.059578194,0.02879749,32.33254655
65,23.35207816,1.28570591,0.438085247,0.19684628
66,20.41812082,1.228393861,0.418652511,0.12914453
67,40.22666164,0.673585229,0.219403471,0.117559848
68,93.30438319,1.210451103,0.433008567,29.49130973
69,101.84039,0.466902027,0.197174573,49.25034939
70,104.1016523,0.996064895,0.32783903,78.47788994
71,144.1338077,0.975964189,0.381151009,0.164072084
72,42.49820883,1.052891566,0.368627599,0.121092405
73,224.604434,0.634752115,0.214188427,20.84865586
74,0.023551936,0.826328139,0.285369568,160.0365792
75,123.690115,1.314122866,0.457951214,1.992958236
76,4.40965208,1.364101603,0.438308409,0.260374973
77,181.8068782,0.387553795,0.147920062,11.07016645
78,16.17012136,0.678956832,0.263816784,71.36344497
79,153.993596,0.014484981,0.004441395,48.12946443
80,157.872184,0.570467355,0.208572372,48.28579008
81,28.00925032,1.121740959,0.370922222,0.759065417
82,97.61660323,1.759868946,0.588517658,5.807034463
83,236.1040745,1.632580626,0.614949422,0.699134066
84,2.944968727,0.368181603,0.12170946,23.89290706
85,1099.557162,0.753284293,0.300423112,1.695299373
86,149.1187645,1.315957554,0.446627347,1.5416112
87,0.005186552,0.010221009,0.006879723,164.0949742
88,32.92010718,0.330195937,0.102332759,73.84165745
89,119.6168801,1.461083133,0.485991964,73.0678077
90,0,2.129109326,1.040633508,5.152610565
91,0,0.540400168,0.282354487,1.245756222
92,3.966770239,0.925110869,0.309930363,0.12371242
93,4.960552393,0.917730342,0.310548116,0.114117394
94,1.510150474,0.635118897,0.207028824,1.887443363
95,1.451999989,0.626560991,0.199760757,2.295741092
96,6.567926388,0.951267766,0.311358729,0.463576283
97,3.894044662,0.918333246,0.303185243,0.320267404
98,1.496646727,0.580949256,0.184477239,0.471882575
99,1.374717743,0.609389608,0.19100099,2.57965543
100,3.42780327,0.779698633,0.279737448,0.083912421
101,2.735392697,0.828166447,0.287777603,0.59336127
102,44.75948863,1.80182825,0.61820752,0.235167839
103,150.2298218,2.211108287,0.73041625,0.908349495
104,349.3021535,0.198954869,0.069145247,0.083535194
105,135.6882182,0.54987804,0.182895585,0.336979695
106,21.37189216,0.713618274,0.234896341,0.678430687
107,2.003239939,0.679939509,0.233068435,0.705258472
108,104.7043388,0.512577677,0.187855843,0.0495662
109,3.493584506,1.155865713,0.41726894,88.93167513
110,11.3317032,1.123593151,0.415391578,109.8524788
111,7.227590784,1.152898431,0.419259126,112.71069
112,6.737445685,1.113229587,0.407657539,114.1726778
113,2.703662162,1.11009426,0.40420005,113.1807963
114,2.718364114,1.099636831,0.399367059,112.6317529
115,0.690664262,2.296025101,0.766406396,0.866166764
116,45.03346121,0.655104172,0.245792432,193.4053906
