ID,linker
1,[O-]C(=O)c1ncnc(c1)C(=O)[O-]
2,[O-]C(=O)c1ncnc(c1)C(=O)[O-]
3,[O-]C(=O)c1ncnc(c1)C(=O)[O-]
4,[O-]C(=O)c1ncnc(c1)C(=O)[O-]
5,[O-]C(=O)c1ncnc(c1)C(=O)[O-]
6,[O-]C(=O)C1=NC=N[C]1C(=O)[O-]
7,[O-]C(=O)c1ccc(cc1)C(=O)[O-]
8,[O-]C(=O)c1ccc(cc1)P(=O)(c1ccc(cc1)C(=O)O)c1ccc(cc1)C(=O)[O-]
9,[O-]C(=O)c1ccc(cc1)OCC(COc1ccc(cc1)C(=O)[O-])(COc1ccc(cc1)C(=O)[O-])COCC(COc1ccc(cc1)C(=O)[O-])(COc1ccc(cc1)C(=O)[O-])COc1ccc(cc1)C(=O)[O-]
10,[O]P(=O)([O])[O]
11,[O-]C(=O)c1ccc(c(c1)S([O])([O])[O])C(=O)[O-]
12,[O-][n+]1ccc(cc1)c1cc[n+](cc1)[O-]
13,n1ccc(cc1)c1ccncc1
14,n1ccc(cc1)c1ccncc1
15,Cc1cc(ccc1C#Cc1ccc(cc1C)C(=O)[O-])C(=O)[O-]
16,C1=N[CH]C=N1
17,[O-]C(=O)c1ccc(cc1)c1ccc(cc1)C(=O)[O-]
18,[O-]C(=O)c1ccc(cc1)c1ccc(cc1)C(=O)[O-]
19,[O-]C(=O)c1ccc(cc1)c1ccc(cc1)C(=O)[O-]
20,[O-]C(=O)c1ccc(cc1)c1ccc(cc1)C(=O)[O-]
21,N1=[C][C]([C]=N1)c1ccc(cc1)C1=[C][N]N=[C]1
22,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-]
23,[O-]C(=O)c1[nH][n-]c(c1)C(=O)[O-]
24,[O-]C(=O)c1ccc(s1)C(=O)[O-]
25,[O]P(=O)(CCCCP(=O)([O])[O])[O]
26,[O-]C(=O)CNCC(=O)[O-]
27,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])n1c(=O)c2c(c1=O)cc1c(c2)c(=O)n(c1=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-]
28,[O-]C(=O)c1cc(Cc2cc(cc(c2)C(=O)O)C(=O)[O-])cc(c1)C(=O)[O-]
29,[O-]C(=O)c1cc(Cc2cc(cc(c2)C(=O)[O-])C(=O)[O-])cc(c1)C(=O)[O-]
30,[O-]C(=O)c1ccc(cc1)C(=O)[O-]
31,[O-]C(=O)c1ccc(cc1)C(=O)[O-]
32,[O-]C(=O)c1ccc(cc1)N=Nc1ccc(cc1)C(=O)[O-]
33,[O-]C(=O)c1ccc(cc1)N=Nc1ccc(cc1)C(=O)[O-]
34,[O-]C(=O)c1ccc(cc1)[N][N]c1ccc(cc1)C(=O)[O-]
35,[O-]C(=O)c1cncnc1
36,[O-]C(=O)c1ccc2c(c1)ccc(c2)C(=O)[O-]
37,[O-]C(=O)c1ccc2c(c1)ccc(c2)C(=O)[O-]
38,[O-]C(=O)CCCC(=O)[O-]
39,[O-]C(=O)c1nc(C(=O)[O-])c(cc1C(=O)[O-])C(=O)[O-]
40,[C]O[C]([C](c1ccc(cc1)C(=O)[O-])O[C])c1ccc(cc1)C(=O)[O-]
41,COC(C(c1ccc(cc1)C(=O)[O-])OC)c1ccc(cc1)C(=O)[O-]
42,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])N1C(=O)c2ccc3c4c2c(C1=O)ccc4C(=O)N(C3=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-]
43,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])c1cc(cc(c1)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-]
44,[O-]C(=O)c1ccc(cc1)c1cc(cc(c1)c1cc(cc(c1)C(=O)[O-])C(=O)[O-])c1cc(cc(c1)C(=O)[O-])C(=O)[O-]
45,[O-]C(=O)c1ccc(s1)C(=O)[O-]
46,[O-]C(=O)c1cnccn1
47,[O-]C(=O)c1cnccn1
48,[O-]C(=O)c1ccc(cc1)OCC(COc1ccc(cc1)C(=O)[O-])(COc1ccc(cc1)C(=O)[O-])COc1ccc(cc1)C(=O)[O-]
49,[O-]C(=O)c1ccc(cc1)OCC(COc1ccc(cc1)C(=O)[O-])(COc1ccc(cc1)C(=O)[O-])COc1ccc(cc1)C(=O)[O-]
50,[O-]C(=O)c1c(ccc(c1C(=O)[O-])C(=O)[O-])C(=O)[O-]
51,[O-]C(=O)c1c(ccc(c1C(=O)[O-])C(=O)[O-])C(=O)[O-]
52,[O-]C(=O)c1cc(C(=O)[O-])c(cc1C(=O)[O-])C(=O)[O-]
53,[O-]C=O
54,[O-][C]=O
55,[O-]C=O
56,[O-]C=O
57,[O-]C=O
58,[O-]C=O
59,[O-]C=O
60,[O]P(=O)([C]N1CC[C](CC1)[C]1CCN(CC1)[C]P(=O)(O)[O])O
61,[O-]C(=O)c1ccc(cc1)C(=O)[O-]
62,[O-]C(=O)c1ccc(cc1)C(=O)O
63,[O-]C(=O)c1ccc(cc1)C(=O)O
64,[O-]C(=O)c1ccncc1
65,n1ccc(cc1)C=Cc1ccncc1
66,n1ccc(cc1)C=Cc1ccncc1
67,[N]1C=NN=C1
