ID,total_number,metal1,number1,ratio1,metal2,number2,ratio2
1,144,Ce,8,0.055555556,No,0,0
2,144,Pr,8,0.055555556,No,0,0
3,144,Nd,8,0.055555556,No,0,0
4,144,Sm,8,0.055555556,No,0,0
5,144,Gd,8,0.055555556,No,0,0
6,356,Co,12,0.033707865,No,0,0
7,224,Zn,16,0.071428571,No,0,0
8,344,Cu,8,0.023255814,No,0,0
9,280,Cd,6,0.021428571,No,0,0
10,78,Zn,16,0.205128205,No,0,0
11,248,Na,8,0.032258065,Cd,8,0.032258065
12,56,Co,2,0.035714286,No,0,0
13,274,Mn,4,0.01459854,V,32,0.116788321
14,274,V,32,0.116788321,Co,4,0.01459854
15,270,Zn,6,0.022222222,No,0,0
16,340,Co,20,0.058823529,No,0,0
17,80,Sm,2,0.025,No,0,0
18,80,La,2,0.025,No,0,0
19,80,Gd,2,0.025,No,0,0
20,80,Nd,2,0.025,No,0,0
21,124,Cu,4,0.032258065,No,0,0
22,76,Tm,4,0.052631579,No,0,0
23,128,La,8,0.0625,No,0,0
24,112,Cu,8,0.071428571,No,0,0
25,22,Cu,2,0.090909091,No,0,0
26,178,Er,4,0.02247191,Cu,6,0.033707865
27,150,Cu,6,0.04,No,0,0
28,152,Ni,8,0.052631579,No,0,0
29,160,Cu,12,0.075,No,0,0
30,306,Ce,12,0.039215686,No,0,0
31,300,Nd,12,0.04,No,0,0
32,172,Ce,4,0.023255814,No,0,0
33,172,Gd,4,0.023255814,No,0,0
34,172,Ce,4,0.023255814,No,0,0
35,75,Cu,3,0.04,No,0,0
36,272,Zn,8,0.029411765,No,0,0
37,272,Zn,8,0.029411765,No,0,0
38,96,Ca,6,0.0625,No,0,0
39,174,Cu,6,0.034482759,No,0,0
40,110,La,2,0.018181818,No,0,0
41,122,La,2,0.016393443,No,0,0
42,112,Cu,4,0.035714286,No,0,0
43,156,Cu,6,0.038461538,No,0,0
44,108,Zn,4,0.037037037,No,0,0
45,112,Zn,8,0.071428571,No,0,0
46,132,Cu,12,0.090909091,No,0,0
47,132,Cu,12,0.090909091,No,0,0
48,213,Cd,6,0.028169014,No,0,0
49,142,Cd,4,0.028169014,No,0,0
50,184,Zn,16,0.086956522,No,0,0
51,176,Cd,8,0.045454545,No,0,0
52,176,Zn,16,0.090909091,No,0,0
53,108,Mn,12,0.111111111,No,0,0
54,84,Mn,12,0.142857143,No,0,0
55,108,Mn,12,0.111111111,No,0,0
56,108,Mn,12,0.111111111,No,0,0
57,108,Mn,12,0.111111111,No,0,0
58,108,Mn,12,0.111111111,No,0,0
59,108,Mn,12,0.111111111,No,0,0
60,126,Co,6,0.047619048,No,0,0
61,108,V,6,0.055555556,No,0,0
62,98,Zn,4,0.040816327,No,0,0
63,98,Zn,4,0.040816327,No,0,0
64,216,Cd,8,0.037037037,No,0,0
65,288,Cu,8,0.027777778,No,0,0
66,288,Ni,8,0.027777778,No,0,0
67,54,Cd,6,0.111111111,No,0,0
68,240,Zn,8,0.033333333,No,0,0
69,240,Mn,8,0.033333333,No,0,0
70,192,Mg,12,0.0625,No,0,0
71,318,Cu,6,0.018867925,No,0,0
72,224,Cd,4,0.017857143,No,0,0
73,158,Cd,6,0.037974684,No,0,0
74,76,Ce,4,0.052631579,No,0,0
75,144,Zn,4,0.027777778,No,0,0
76,178,Zn,8,0.04494382,No,0,0
77,520,Cd,8,0.015384615,No,0,0
78,148,Zn,8,0.054054054,No,0,0
79,272,Ba,16,0.058823529,No,0,0
80,228,Ag,12,0.052631579,No,0,0
81,70,Ni,2,0.028571429,No,0,0
82,208,Co,8,0.038461538,No,0,0
83,104,Co,4,0.038461538,No,0,0
84,166,Nd,4,0.024096386,Co,6,0.036144578
85,159,Zn,3,0.018867925,No,0,0
86,272,Co,4,0.014705882,No,0,0
87,148,U,16,0.108108108,No,0,0
88,128,Mg,16,0.125,No,0,0
89,222,Mn,10,0.045045045,No,0,0
90,54,Ga,10,0.185185185,No,0,0
91,212,Zn,12,0.056603774,No,0,0
92,150,Zn,6,0.04,No,0,0
93,150,Zn,6,0.04,No,0,0
94,156,Zn,6,0.038461538,No,0,0
95,156,Zn,6,0.038461538,No,0,0
96,144,Zn,6,0.041666667,No,0,0
97,144,Zn,6,0.041666667,No,0,0
98,156,Zn,6,0.038461538,No,0,0
99,156,Zn,6,0.038461538,No,0,0
100,186,Zn,6,0.032258065,No,0,0
101,180,Zn,6,0.033333333,No,0,0
102,218,Co,6,0.027522936,No,0,0
103,272,Ni,6,0.022058824,No,0,0
104,104,Cu,6,0.057692308,No,0,0
105,104,Cu,6,0.057692308,No,0,0
106,104,Cu,6,0.057692308,No,0,0
107,104,Cu,6,0.057692308,No,0,0
108,98,Cu,4,0.040816327,No,0,0
109,124,Ho,4,0.032258065,No,0,0
