Order,I2,N2,O2,H2O,Selectivity,PLD,LCD,Void,Surface_Area,Pore_Volume,Density,Metal_Ratio,Atomic_Number,Atomic_Weight,Atomic Radius,Mulliken_EN,Polarizability,Electron_Affinity,H_,C_R,N_R,O_R,O_2,O_3_f,P_3+q,C_2,C_3,Cl,O_2_z,S_R,N_3,N_2,C_1,F_,Br,N_1,I2_Heat,H2O_Heat,N2_Heat,O2_Heat,I2_Henry,N2_Henry,O2_Henry,H2O_Henry
1,0,0.054409194,0.02741058,135.217412,0,3.90547,4.71075,0.0587935,0,0.03289673,1.787213883,0.055555556,58,140.115,1.85,3.1,29.6,635,6.147718857,21.517016,6.147718857,18.44315657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5407.77065,19346.27342,1679.78151,1475.70225,8.15E-05,1.89E-07,2.47E-07,1.32E-07
2,0,0.066274347,0.033749102,126.0424055,0,3.85229,4.69102,0.0597065,0,0.03294981,1.81204407,0.055555556,59,140.90765,2.47,3.1,28.2,93,6.219064707,21.76672647,6.219064707,18.65719412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5370.83101,18198.48974,1651.06912,1482.12075,6.87E-05,1.85E-07,2.43E-07,1.30E-07
3,0,0.038453352,0.019879889,135.7628241,0,3.82009,4.67302,0.0532893,0,0.02884057,1.847720156,0.055555556,60,144.24,2.06,3.1,31.4,185,6.281925746,21.98674011,6.281925746,18.84577724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5343.38779,19766.26434,1689.32825,1499.34344,5.50E-05,1.81E-07,2.40E-07,1.27E-07
4,0,0.030017173,0.016274564,135.0873502,0,3.74654,4.69761,0.0544157,0,0.02854908,1.906040327,0.055555556,62,150.36,2.38,3.1,28.8,16,6.369976801,22.2949188,6.369976801,19.1099304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5398.05432,20241.27298,1688.28942,1515.46897,5.27E-05,1.74E-07,2.31E-07,1.22E-07
5,0,0.029369791,0.015340407,129.990706,0,3.68144,4.57088,0.0449361,0,0.02281912,1.969230219,0.055555556,64,157.25,2.33,3.1,23.5,13,6.457772682,22.60220439,6.457772682,19.37331805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5301.39076,19999.66116,1683.01427,1535.22023,3.20E-05,1.64E-07,2.22E-07,1.17E-07
6,0,0.351399868,0.144191098,10.17840894,0,3.59861,4.37853,0.0252216,0,0.01873842,1.345983054,0.033707865,27,58.9332,1.52,4.3,7.5,64,23.81317734,34.01882477,8.504706191,0,6.803764953,0,0,0,0,0,0,0,0,0,0,0,0,0,16.83471,5085.80713,1907.06529,1822.47941,7.17E-11,2.15E-07,3.06E-07,1.43E-07
7,1.16734991,0.773263647,0.306716171,73.93459363,51.87213882,3.90881,4.64287,0.0914909,0,0.07900392,1.158055197,0.071428571,30,65.39,1.42,4.45,6.4,-60,12.39443196,21.24759765,0,1.770633137,8.853165687,1.770633137,0,0,0,0,0,0,0,0,0,0,0,0,5930.6655,9112.39408,1779.89765,1536.36839,0.000718008,5.88E-07,7.57E-07,3.67E-07
8,670.2140737,0.431027473,0.196286196,0.422969008,2127091.077,3.51034,6.27961,0.0808437,16.02723,0.07148464,1.130924005,0.023255814,29,63.546,1.45,4.48,6.7,119,18.77312608,28.88173243,0,0,8.66451973,0,1.444086622,1.444086622,0,0,0,0,0,0,0,0,0,0,8101.28657,3703.17889,1673.86094,1654.58852,0.27809,8.67E-07,9.98E-07,4.20E-07
9,110.8188624,1.012378134,0.372199479,0.626014741,183725.0637,4.91038,7.70318,0.137748,135.557764,0.12709259,1.083839724,0.021428571,48,112.411,1.61,4.33,7.2,-70,21.53217685,23.254751,1.722574148,0,8.182227205,0,0,0,4.306435371,0,0,0,0,0,0,0,0,0,7078.74191,2898.44399,1343.30604,1372.73915,0.0175091,5.85E-07,6.91E-07,3.52E-07
10,40.15853801,0.361974385,0.118330189,0.076111182,240578.7259,4.29249,6.30007,0.397193,527.703665,0.17196257,2.309764316,0.205128205,30,65.39,1.42,4.45,6.4,-60,0,0,0,0,7.395179158,0,7.395179158,0,0,1.23252986,0,0,0,0,0,0,0,0,6672.06205,1843.66587,1309.04953,1253.75353,0.0052316,1.89E-07,2.08E-07,1.08E-07
11,29.94275446,0.112917441,0.038868164,70.1431656,1419.862733,4.22364,4.76175,0.0807808,0,0.04698024,1.719463159,0.032258065,11,22.989768,1.9,2.85,23.6,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7911.3216,7711.46368,1800.61437,1681.95609,0.0535268,3.68E-07,4.01E-07,1.69E-07
12,362.9889524,0.540564759,0.281729697,1.463623873,529311.6379,4.10445,5.75165,0.0518292,0,0.04104099,1.262864426,0.035714286,27,58.9332,1.52,4.3,7.5,64,19.19277761,31.18826361,2.399097201,0,11.995486,0,0,0,0,0,0,0,0,0,0,0,0,0,7911.41269,3815.0252,1709.25178,1705.9738,0.179093,7.95E-07,9.44E-07,3.81E-07
13,41.69905183,0.444131852,0.160350955,0.705143028,106134.772,3.72148,5.52187,0.0496478,1.352696,0.03031671,1.637638128,0.116788321,23,50.9415,1.71,3.6,12.4,51,14.39276141,17.99095176,3.598190353,0,17.09140418,0,0,0,0,0.449773794,8.995475882,0,0,0,0,0,0,0,7512.15955,3667.88704,1652.3921,1597.11686,0.00690896,2.21E-07,2.88E-07,1.42E-07
14,42.72437725,0.373507151,0.139107212,2.672789465,44708.48863,3.81414,5.64563,0.0405597,0,0.02363854,1.715829619,0.116788321,23,50.9415,1.71,3.6,12.4,51,15.02521228,18.78151535,3.756303071,0,17.84243959,0,0,0,0,0.469537884,9.390757677,0,0,0,0,0,0,0,7692.42991,5102.20414,1687.70263,1641.57398,0.0077574,1.98E-07,2.59E-07,1.25E-07
15,159.9231228,0.900999601,0.334126221,0.252809139,358266.3826,5.04333,7.36084,0.102164,80.751603,0.10052681,1.016286142,0.022222222,30,65.39,1.42,4.45,6.4,-60,22.48323648,26.69884332,1.40520228,0,5.620809121,0,0,0,2.81040456,0,0,0,0,0,2.81040456,0,0,0,7794.10084,2499.84715,1410.22412,1422.3639,0.0560242,5.74E-07,6.74E-07,3.36E-07
16,138.416597,0.70152652,0.241365411,0.087741166,447674.9855,4.22462,6.45274,0.0871874,13.671593,0.07771836,1.121837871,0.058823529,27,58.9332,1.52,4.3,7.5,64,21.00186247,21.00186247,14.00124165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8037.05104,1491.18518,1435.48629,1415.71008,0.0282687,4.46E-07,5.12E-07,2.57E-07
17,45.32176691,1.377817288,0.477250946,39.55787391,3647.955169,6.5175,8.26215,0.214267,558.853621,0.20228694,1.059223126,0.025,62,150.36,2.38,3.1,28.8,16,14.99545402,26.24204454,0,6.248105842,1.249621168,0,0,0,0,0,0,0,0,0,0,0,0,0,6009.00395,11264.15815,1391.9153,1422.53385,0.00401961,7.31E-07,8.49E-07,4.21E-07
18,48.3038683,1.387002823,0.49082473,40.90961843,3763.087294,6.31049,8.18594,0.200236,531.870475,0.19248071,1.040291247,0.025,57,138.9055,1.95,3.1,31.1,45,15.06569243,26.36496176,0,6.277371847,1.255474369,0,0,0,0,0,0,0,0,0,0,0,0,0,5890.53365,10536.07955,1393.60342,1450.59739,0.00378034,7.35E-07,8.67E-07,4.27E-07
19,47.62955271,1.354164423,0.47734169,40.25116041,3772.697617,6.44453,8.71169,0.204609,521.793658,0.186973,1.09432377,0.025,64,157.25,2.33,3.1,23.5,13,15.28617358,26.75080377,0,6.369238993,1.273847799,0,0,0,0,0,0,0,0,0,0,0,0,0,5941.45271,10845.04796,1403.91119,1449.56316,0.00403784,7.25E-07,8.47E-07,4.14E-07
20,43.38247185,1.382990532,0.47728879,41.27851276,3352.162462,6.51591,8.19585,0.210486,572.808579,0.20090688,1.047679381,0.025,60,144.24,2.06,3.1,31.4,185,15.01231549,26.27155211,0,6.255131454,1.251026291,0,0,0,0,0,0,0,0,0,0,0,0,0,5880.02297,11287.36954,1395.25691,1428.45061,0.00363359,7.36E-07,8.56E-07,4.23E-07
21,24.00946397,1.044510608,0.38611185,0.122908238,51515.90939,5.29484,8.04098,0.127151,132.479158,0.12988934,0.978917886,0.032258065,29,63.546,1.45,4.48,6.7,119,9.569223684,28.70767105,9.569223684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5481.10636,1211.23825,1148.58861,1195.09674,0.00298432,5.56E-07,6.56E-07,3.66E-07
22,0.401382963,0.75795387,0.266738623,128.1206363,10.35998144,4.50129,5.3901,0.157633,22.487646,0.11372797,1.386053093,0.052631579,69,168.93421,2.22,3.1,21.8,99,6.660653865,19.9819616,0,13.32130773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5216.73112,12819.96856,1462.99313,1275.45048,0.000645556,5.39E-07,6.17E-07,3.18E-07
23,46.78576299,0.356683651,0.114343755,97.78103553,1587.269912,6.07777,6.49619,0.157417,108.912128,0.08885475,1.771621753,0.0625,57,138.9055,1.95,3.1,31.1,45,6.607567723,18.17081124,6.607567723,9.911351585,8.259459654,0,0,0,0,0,0,0,0,0,0,0,0,0,5992.47684,10810.0151,1273.11244,1166.91301,0.00604527,2.82E-07,3.06E-07,1.65E-07
24,10.70018002,1.353066111,0.450097513,0.238580334,17469.02035,5.07148,6.68297,0.361694,928.803437,0.40788396,0.886757103,0.071428571,29,63.546,1.45,4.48,6.7,119,4.571593402,13.71478021,0,0,9.143186804,0,0,0,0,0,0,2.285796701,0,0,0,0,0,0,4975.96827,1466.69098,980.35994,976.36568,0.001401,6.91E-07,7.63E-07,4.59E-07
25,0,0.482709051,0.286790214,107.9969905,0,3.92604,4.30721,0.0297946,0,0.01546346,1.926774473,0.090909091,29,63.546,1.45,4.48,6.7,119,27.21389504,0,0,0,6.803473761,0,6.803473761,0,13.60694752,0,0,0,0,0,0,0,0,0,-4534.0875,6991.22807,2189.86008,2288.64886,6.38E-16,4.88E-07,8.82E-07,3.14E-07
26,187.3664596,0.027781869,0.012035022,1.962137615,311972.5565,5.03994,7.12611,0.0848513,33.70044,0.04277789,1.98353155,0.033707865,29,63.546,1.45,4.48,6.7,119,27.32558153,10.93023261,0,13.66279076,8.197674459,0,0,0,10.93023261,0,0,0,5.465116306,0,0,0,0,0,8192.53452,5225.10008,1602.29755,1546.59559,0.392803,3.09E-07,3.31E-07,1.47E-07
27,26.66688274,1.864302739,0.623172784,0.515741407,29598.13135,5.75746,11.28543,0.459153,2020.932521,0.70672089,0.649694963,0.04,29,63.546,1.45,4.48,6.7,119,4.691581448,15.24763971,1.172895362,2.345790724,4.691581448,0,0,0,0,0,0,0,0,0,0,0,0,0,6205.43497,1882.78889,893.78896,914.61767,0.00394825,9.64E-07,1.05E-06,6.50E-07
28,7.344910052,1.203539513,0.376514566,5.763879146,3333.776705,4.84092,7.79386,0.304076,655.14004,0.31045407,0.979455672,0.052631579,28,58.6934,1.49,4.4,6.8,112,12.40569505,19.84911208,0,2.48113901,8.683986535,0,0,0,1.240569505,0,0,0,0,0,0,0,0,0,4930.51724,4264.99285,1116.04012,1079.01384,0.00090847,5.75E-07,6.39E-07,3.72E-07
29,0.675616473,0.301800593,0.096793277,16.88757504,130.2807419,5.66011,5.95317,0.249654,565.15825,0.18655762,1.338213919,0.075,29,63.546,1.45,4.48,6.7,119,14.27085008,22.83336013,0,2.854170017,11.41668007,0,0,0,1.427085008,0,0,0,0,0,0,0,0,0,4041.51005,5882.01009,962.56015,907.24479,7.54E-05,1.48E-07,1.77E-07,1.29E-07
30,45.58553974,0.587235397,0.222755492,71.10454626,2112.949692,4.33197,5.97718,0.106541,1.664571,0.07440402,1.431925375,0.039215686,58,140.115,1.85,3.1,29.6,635,14.03372325,26.59021247,0,12.18718072,1.10792552,0,0,0,0,0,0,0,0,0,0,0,0,0,7028.70745,11462.88545,1627.9522,1490.82259,0.0378717,5.28E-07,6.04E-07,2.76E-07
31,46.09246157,0.595958323,0.224758682,78.42585989,1938.778236,4.42105,5.95078,0.108685,2.385955,0.07681453,1.414901561,0.04,60,144.24,2.06,3.1,31.4,185,13.09941625,26.1988325,0,12.00779823,1.091618021,0,0,0,0,0,0,0,0,0,0,0,0,0,6778.10158,12705.09439,1606.68014,1456.42779,0.0234655,5.00E-07,5.74E-07,2.71E-07
32,2.391424197,1.940650242,0.607218768,66.59900231,115.2823525,6.55754,8.96828,0.392406,1797.155871,0.69246658,0.566678615,0.023255814,58,140.115,1.85,3.1,29.6,635,7.552443369,13.2167759,0,3.146851404,0.629370281,0,0,0,0,0,0,0,0,1.888110842,0,0,0,0,3726.49962,12470.27499,775.02903,735.54585,0.000233577,9.69E-07,1.03E-06,7.00E-07
33,2.543263845,1.884099893,0.595986076,64.05288129,127.4187294,6.54764,8.90301,0.386629,1642.411722,0.65456257,0.59066775,0.023255814,64,157.25,2.33,3.1,23.5,13,7.63099244,13.35423677,0,3.81549622,0,0,0,0,0,0,0,0,0,1.90774811,0,0,0,0,3758.76881,13588.25097,779.15349,743.20504,0.000237819,9.39E-07,1.00E-06,6.75E-07
34,16.83237462,1.312551687,0.4306571,51.31032233,1057.571743,4.98284,7.43227,0.214448,362.815736,0.23079849,0.929156878,0.023255814,58,140.115,1.85,3.1,29.6,635,12.38339426,21.67093996,0,4.643772848,1.547924283,0,0,0,0,0,0,0,0,3.095848566,0,0,0,0,5155.33749,14990.29479,1274.70013,1111.30076,0.00185607,6.95E-07,7.75E-07,4.36E-07
35,310.3625001,0.090333103,0.038957771,0.008918682,7485312.18,5.62773,6.57831,0.0749129,4.541895,0.05021112,1.491958455,0.04,29,63.546,1.45,4.48,6.7,119,17.41135646,29.01892744,11.60757098,5.803785488,5.803785488,0,0,0,0,0,0,0,0,0,0,0,0,0,8304.07788,1332.68806,1608.12281,1583.12142,0.850416,5.86E-07,6.13E-07,2.47E-07
36,178.4172462,0.857055219,0.284309614,0.316895742,407831.1959,10.53622,11.37049,0.233916,649.778085,0.23821466,0.981954678,0.029411765,30,65.39,1.42,4.45,6.4,-60,20.3028875,20.3028875,0,0.422976823,6.344652343,0,0,0,5.075721874,0,0,0,3.383814583,0,0,0,0,0,8564.74056,4648.31113,1366.32558,1363.12457,0.0669581,6.51E-07,7.32E-07,3.69E-07
37,173.6799451,0.874830215,0.286139811,0.274665516,403259.1377,10.38233,10.88516,0.23348,652.04732,0.23689852,0.985569693,0.029411765,30,65.39,1.42,4.45,6.4,-60,20.37763152,20.37763152,0,0.84906798,5.94347586,0,0,0,5.09440788,0,0,0,3.39627192,0,0,0,0,0,8480.28947,5009.35013,1375.65803,1372.41336,0.0460486,6.42E-07,7.22E-07,3.66E-07
38,0,0.077978175,0.057825796,0.014938309,0,3.41789,4.06344,0.00161802,0,0.0010158,1.592845705,0.0625,20,40.078,1.94,2.2,22.8,2,33.83079362,11.27693121,0,0,22.55386241,0,0,0,16.91539681,0,0,0,0,0,0,0,0,0,-19179.33046,1619.77663,2076.68852,2213.13933,1.01E-31,3.86E-08,9.90E-08,5.81E-08
39,4.182367277,0.678024665,0.217822601,9.430212561,1350.101054,7.26546,9.0113,0.207191,549.502987,0.20234759,1.023936077,0.034482759,29,63.546,1.45,4.48,6.7,119,16.54757099,24.18491144,2.545780152,1.909335114,5.728005342,0,0,2.545780152,0,0,0,0,0,0,0,0,0,0,5134.04109,5269.99141,981.72432,969.0586,0.000572945,3.56E-07,3.92E-07,2.48E-07
40,1.636533114,0.506736728,0.182509273,36.14867022,148.0841193,3.7258,6.09505,0.0716207,34.119026,0.05413794,1.322929936,0.018181818,57,138.9055,1.95,3.1,31.1,45,22.94301147,26.76684671,0,6.37305874,5.098446992,0,0,3.823835244,2.549223496,0,0,0,0,0,1.274611748,0,0,0,7289.45633,11599.44476,1669.70801,1506.47114,0.0550897,3.75E-07,4.26E-07,2.01E-07
41,5.074057194,0.482755174,0.172089089,34.55723517,480.3330065,3.83804,6.20935,0.0700752,34.443717,0.05271635,1.32928769,0.016393443,57,138.9055,1.95,3.1,31.1,45,30.4431405,26.63774793,0,6.342320936,5.073856749,0,0,0,7.610785124,0,0,0,0,0,0,0,0,0,7695.0603,11370.61082,1717.53159,1534.79577,0.137422,3.90E-07,4.33E-07,1.97E-07
42,27.78329511,1.786193268,0.581404583,0.830774521,28955.66022,4.8248,6.90189,0.30308,697.754825,0.36368861,0.833350273,0.035714286,29,63.546,1.45,4.48,6.7,119,6.997642715,20.99292814,1.399528543,2.799057086,5.598114172,0,0,0,0,0,0,0,0,0,0,0,0,0,5455.86472,2537.66464,1128.13878,1109.93999,0.00357846,8.89E-07,9.78E-07,5.40E-07
43,3.917034759,2.00169838,0.640153114,0.262642646,4495.37231,6.7457,13.83317,0.460445,2402.957336,0.81109101,0.567685988,0.038461538,29,63.546,1.45,4.48,6.7,119,7.908413466,15.81682693,0,0,4.519093409,0,0,0,0,0,0,0,0,0,0,0,0,0,4203.51763,1029.50846,759.52301,782.60148,0.000497463,1.02E-06,1.11E-06,7.34E-07
44,14.79921971,2.126983678,0.692535524,0.397193145,15335.76118,6.6636,8.63154,0.343687,1730.627426,0.50537054,0.680069319,0.037037037,30,65.39,1.42,4.45,6.4,-60,8.166890426,18.21844787,0,1.256444681,5.025778724,0,0,0,0,0,0,0,0,0,0,0,0,0,4957.92586,1591.79791,976.97116,989.24653,0.00193724,1.09E-06,1.17E-06,6.86E-07
45,0.020202594,0.473825917,0.188033976,5.266773268,11.35877003,3.47545,4.40375,0.0430281,0,0.02605253,1.651590156,0.071428571,30,65.39,1.42,4.45,6.4,-60,8.447268626,25.34180588,0,0,16.89453725,0,0,0,0,0,0,4.223634313,0,0,0,0,0,0,4667.17495,5854.10354,1944.41271,1878.06575,3.50E-06,2.43E-07,3.59E-07,1.60E-07
46,4.193821485,0.923781943,0.306993983,0.410079759,8519.582238,5.20392,8.64402,0.229067,468.372483,0.21985524,1.041899193,0.090909091,29,63.546,1.45,4.48,6.7,119,9.445166928,15.74194488,6.296777952,0,6.296777952,0,0,0,0,0,0,0,0,0,0,0,0,0,4595.19453,2480.6053,967.49543,973.50245,0.00053681,4.63E-07,5.19E-07,3.21E-07
47,4.243262914,0.935188104,0.312612174,0.375723191,8712.045122,5.24969,8.59729,0.232451,485.616655,0.22366249,1.03929364,0.090909091,29,63.546,1.45,4.48,6.7,119,9.421546713,15.70257786,6.281031142,0,6.281031142,0,0,0,0,0,0,0,0,0,0,0,0,0,4601.38591,2401.64111,962.61832,965.96897,0.000550657,4.66E-07,5.21E-07,3.22E-07
48,316.9829632,0.971295381,0.376979854,35.15734633,28943.75804,4.08361,5.65902,0.0808243,6.563467,0.06911174,1.169472804,0.028169014,48,112.411,1.61,4.33,7.2,-70,20.19405374,23.55972937,0,0.280472969,9.816553903,0,0,0,4.20709453,0,0,0,0,0,0,0,0,0,7951.00115,9316.55435,1736.91935,1664.70843,0.14408,9.39E-07,1.07E-06,4.41E-07
49,21.66145219,1.412699507,0.463773112,31.91848534,2136.556604,5.15676,8.4144,0.26213,702.745192,0.3062983,0.855799723,0.028169014,48,112.411,1.61,4.33,7.2,-70,14.77765496,17.24059746,0,0,7.388827481,0,0,0,3.078678117,0,0,0,0,0,0,0,0,0,5754.52349,7955.31822,1123.33063,1096.91292,0.00289842,7.50E-07,8.34E-07,4.80E-07
