Order,H_,C_R,N_R,O_R,O_2,O_3_f,P_3+q,C_2,C_3,Cl,O_2_z,S_R,N_3,N_2,C_1,F_,Br,N_1
1,6.147718857,21.517016,6.147718857,18.44315657,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,6.219064707,21.76672647,6.219064707,18.65719412,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,6.281925746,21.98674011,6.281925746,18.84577724,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,6.369976801,22.2949188,6.369976801,19.1099304,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,6.457772682,22.60220439,6.457772682,19.37331805,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,23.81317734,34.01882477,8.504706191,0,6.803764953,0,0,0,0,0,0,0,0,0,0,0,0,0
7,12.39443196,21.24759765,0,1.770633137,8.853165687,1.770633137,0,0,0,0,0,0,0,0,0,0,0,0
8,18.77312608,28.88173243,0,0,8.66451973,0,1.444086622,1.444086622,0,0,0,0,0,0,0,0,0,0
9,21.53217685,23.254751,1.722574148,0,8.182227205,0,0,0,4.306435371,0,0,0,0,0,0,0,0,0
10,0,0,0,0,7.395179158,0,7.395179158,0,0,1.23252986,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,19.19277761,31.18826361,2.399097201,0,11.995486,0,0,0,0,0,0,0,0,0,0,0,0,0
13,14.39276141,17.99095176,3.598190353,0,17.09140418,0,0,0,0,0.449773794,8.995475882,0,0,0,0,0,0,0
14,15.02521228,18.78151535,3.756303071,0,17.84243959,0,0,0,0,0.469537884,9.390757677,0,0,0,0,0,0,0
15,22.48323648,26.69884332,1.40520228,0,5.620809121,0,0,0,2.81040456,0,0,0,0,0,2.81040456,0,0,0
16,21.00186247,21.00186247,14.00124165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,14.99545402,26.24204454,0,6.248105842,1.249621168,0,0,0,0,0,0,0,0,0,0,0,0,0
18,15.06569243,26.36496176,0,6.277371847,1.255474369,0,0,0,0,0,0,0,0,0,0,0,0,0
19,15.28617358,26.75080377,0,6.369238993,1.273847799,0,0,0,0,0,0,0,0,0,0,0,0,0
20,15.01231549,26.27155211,0,6.255131454,1.251026291,0,0,0,0,0,0,0,0,0,0,0,0,0
21,9.569223684,28.70767105,9.569223684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,6.660653865,19.9819616,0,13.32130773,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,6.607567723,18.17081124,6.607567723,9.911351585,8.259459654,0,0,0,0,0,0,0,0,0,0,0,0,0
24,4.571593402,13.71478021,0,0,9.143186804,0,0,0,0,0,0,2.285796701,0,0,0,0,0,0
25,27.21389504,0,0,0,6.803473761,0,6.803473761,0,13.60694752,0,0,0,0,0,0,0,0,0
26,27.32558153,10.93023261,0,13.66279076,8.197674459,0,0,0,10.93023261,0,0,0,5.465116306,0,0,0,0,0
27,4.691581448,15.24763971,1.172895362,2.345790724,4.691581448,0,0,0,0,0,0,0,0,0,0,0,0,0
28,12.40569505,19.84911208,0,2.48113901,8.683986535,0,0,0,1.240569505,0,0,0,0,0,0,0,0,0
29,14.27085008,22.83336013,0,2.854170017,11.41668007,0,0,0,1.427085008,0,0,0,0,0,0,0,0,0
30,14.03372325,26.59021247,0,12.18718072,1.10792552,0,0,0,0,0,0,0,0,0,0,0,0,0
31,13.09941625,26.1988325,0,12.00779823,1.091618021,0,0,0,0,0,0,0,0,0,0,0,0,0
32,7.552443369,13.2167759,0,3.146851404,0.629370281,0,0,0,0,0,0,0,0,1.888110842,0,0,0,0
33,7.63099244,13.35423677,0,3.81549622,0,0,0,0,0,0,0,0,0,1.90774811,0,0,0,0
34,12.38339426,21.67093996,0,4.643772848,1.547924283,0,0,0,0,0,0,0,0,3.095848566,0,0,0,0
35,17.41135646,29.01892744,11.60757098,5.803785488,5.803785488,0,0,0,0,0,0,0,0,0,0,0,0,0
36,20.3028875,20.3028875,0,0.422976823,6.344652343,0,0,0,5.075721874,0,0,0,3.383814583,0,0,0,0,0
37,20.37763152,20.37763152,0,0.84906798,5.94347586,0,0,0,5.09440788,0,0,0,3.39627192,0,0,0,0,0
38,33.83079362,11.27693121,0,0,22.55386241,0,0,0,16.91539681,0,0,0,0,0,0,0,0,0
39,16.54757099,24.18491144,2.545780152,1.909335114,5.728005342,0,0,2.545780152,0,0,0,0,0,0,0,0,0,0
40,22.94301147,26.76684671,0,6.37305874,5.098446992,0,0,3.823835244,2.549223496,0,0,0,0,0,1.274611748,0,0,0
41,30.4431405,26.63774793,0,6.342320936,5.073856749,0,0,0,7.610785124,0,0,0,0,0,0,0,0,0
42,6.997642715,20.99292814,1.399528543,2.799057086,5.598114172,0,0,0,0,0,0,0,0,0,0,0,0,0
43,7.908413466,15.81682693,0,0,4.519093409,0,0,0,0,0,0,0,0,0,0,0,0,0
44,8.166890426,18.21844787,0,1.256444681,5.025778724,0,0,0,0,0,0,0,0,0,0,0,0,0
45,8.447268626,25.34180588,0,0,16.89453725,0,0,0,0,0,0,4.223634313,0,0,0,0,0,0
46,9.445166928,15.74194488,6.296777952,0,6.296777952,0,0,0,0,0,0,0,0,0,0,0,0,0
47,9.421546713,15.70257786,6.281031142,0,6.281031142,0,0,0,0,0,0,0,0,0,0,0,0,0
48,20.19405374,23.55972937,0,0.280472969,9.816553903,0,0,0,4.20709453,0,0,0,0,0,0,0,0,0
49,14.77765496,17.24059746,0,0,7.388827481,0,0,0,3.078678117,0,0,0,0,0,0,0,0,0
50,5.396457093,26.98228546,0,5.396457093,18.88759983,0,0,0,0,0,2.698228546,0,0,0,0,0,0,0
51,15.54556327,28.2646605,2.82646605,0,11.3058642,0,0,0,0,0,0,0,0,0,0,0,0,0
52,3.842166291,19.21083145,0,1.921083145,13.44758202,0,0,0,0,0,0,0,0,0,0,0,0,0
53,13.69389089,13.69389089,0,0,27.38778178,0,0,0,0,0,0,0,0,0,0,0,0,0
54,0,13.45669617,0,0,26.91339233,0,0,0,0,0,0,0,0,0,0,0,0,0
55,13.23227796,13.23227796,0,0,26.46455592,0,0,0,0,0,0,0,0,0,0,0,0,0
56,13.81354621,13.81354621,0,0,27.62709243,0,0,0,0,0,0,0,0,0,0,0,0,0
57,13.92254387,13.92254387,0,0,27.84508774,0,0,0,0,0,0,0,0,0,0,0,0,0
58,13.25250062,13.25250062,0,0,26.50500125,0,0,0,0,0,0,0,0,0,0,0,0,0
59,13.37534504,13.37534504,0,0,26.75069008,0,0,0,0,0,0,0,0,0,0,0,0,0
60,17.52139532,0,0,0,3.893643405,0,1.946821702,1.946821702,7.78728681,0,0,0,1.946821702,0,1.946821702,0,0,0
61,8.982830002,17.96566,0,0,11.2285375,0,0,0,0,0,0,0,0,0,0,0,0,0
62,14.98987148,16.86360541,2.810600902,1.873733934,5.621201803,0,0,0,1.873733934,0,0,0,0,0,0,0,0,0
63,14.96826195,16.8392947,2.806549116,1.871032744,5.613098232,0,0,0,1.871032744,0,0,0,0,0,0,0,0,0
64,17.65788949,26.48683424,4.414472374,0,8.828944747,0,0,0,0,0,0,0,0,0,0,0,0,0
65,24.83874084,18.21507661,3.311832112,0,3.311832112,0,0,3.311832112,3.311832112,0,0,0,1.655916056,0,0,0,0,0
66,24.98668523,18.32356917,3.331558031,0,3.331558031,0,0,3.331558031,3.331558031,0,0,0,1.665779016,0,0,0,0,0
67,9.469220701,9.469220701,14.20383105,0,0,0,0,0,0,4.734610351,0,0,0,0,0,0,0,0
68,19.8602484,30.89371973,0,1.103347133,9.930124199,0,0,0,2.206694266,0,0,0,0,0,0,0,0,0
69,20.74789206,32.27449876,0,0,11.5266067,0,0,0,2.30532134,0,0,0,0,0,0,0,0,0
70,9.193123981,21.45062262,3.06437466,0,12.25749864,0,0,0,0,0,0,0,0,0,0,0,0,0
71,24.43454031,19.54763225,14.66072419,0,0,0,0,0,4.886908063,0,0,0,0,0,0,0,0,0
72,22.54246941,28.98317496,6.440705546,0,0,0,0,0,0,0,0,0,1.073450924,0,0,0,0,0
73,14.97892698,28.59613332,0,0.680860317,7.489463489,0,0,0,0,0,0,0,0,0,0,0,0,0
74,6.863130757,20.58939227,0,11.43855126,2.287710252,0,0,0,0,0,0,0,0,0,0,0,0,0
75,11.88229393,20.79401438,0,0,5.941146965,0,0,0,4.455860224,0,0,0,0,0,0,8.911720448,0,0
